DEP,dep_median_inc
01,24810
02,20920
03,21500
04,21790
05,22010
06,23460
07,21990
08,20850
09,20820
10,21530
11,20510
12,21860
13,22920
14,22840
15,21710
16,22000
17,22810
18,22100
19,22140
2A,23420
2B,21460
21,23720
22,22670
23,20620
24,21410
25,23890
26,22450
27,22880
28,23360
29,23220
30,21330
31,24230
32,22110
33,23950
34,21800
35,23690
36,21270
37,23140
38,24270
39,23140
40,22840
41,22510
42,21970
43,22100
44,24120
45,23090
46,21910
47,21050
48,21580
49,22500
50,22480
51,22830
52,21350
53,22230
54,23010
55,21890
56,23140
57,22980
58,21380
59,21340
60,23330
61,21400
62,20720
63,23060
64,23300
65,21530
66,20650
67,24090
68,24470
69,24480
70,21860
71,22170
72,22230
73,24270
74,28120
75,29730
76,22340
77,24640
78,28130
79,22220
80,21560
81,21730
82,21520
83,23120
84,21370
85,22790
86,22220
87,22140
88,21550
89,21940
90,22920
91,25040
92,29720
93,19020
94,24270
95,23290
971,15720
972,19770
973,11040
974,17070
976,3120
