INSEE,community_size
01001,798
01002,257
01004,14514
01005,1776
01006,118
01007,2915
01008,777
01009,335
01010,1122
01011,379
01012,333
01013,147
01014,3442
01015,667
01016,469
01017,473
01019,31
01021,1485
01022,1267
01023,76
01024,3316
01025,4171
01026,1041
01027,2615
01028,634
01029,693
01030,844
01031,3886
01032,3405
01033,16728
01034,9582
01035,318
01036,1345
01037,312
01038,775
01039,451
01040,496
01041,769
01042,305
01043,4867
01044,648
01045,287
01046,903
01047,1214
01049,3356
01050,369
01051,92
01052,334
01053,42853
01054,1489
01056,354
01057,535
01058,849
01060,514
01061,1179
01062,956
01063,540
01064,1090
01065,1876
01066,90
01067,268
01068,790
01069,1542
01071,4925
01072,3256
01073,1025
01074,2624
01075,1413
01076,128
01077,199
01078,1590
01079,842
01080,657
01081,756
01082,642
01083,944
01084,913
01085,405
01087,292
01088,930
01089,2303
01090,362
01092,1662
01093,5134
01094,773
01095,865
01096,1064
01098,1195
01099,1623
01100,135
01101,159
01102,976
01103,2196
01104,471
01105,1882
01106,186
01107,137
01108,1200
01109,2272
01110,158
01111,133
01112,462
01113,829
01114,679
01115,1363
01116,510
01117,153
01118,1310
01121,117
01123,1197
01124,697
01125,625
01127,516
01128,306
01129,297
01130,2407
01133,400
01134,1803
01135,2235
01136,913
01138,3068
01139,449
01140,786
01141,468
01142,4834
01143,10190
01145,1201
01146,439
01147,495
01148,1925
01149,1104
01150,219
01151,1173
01152,768
01153,2189
01155,147
01156,827
01157,2292
01158,1065
01159,3436
01160,10189
01162,68
01163,2073
01165,1627
01166,2484
01167,658
01169,663
01170,1081
01171,886
01173,13391
01174,180
01175,807
01177,189
01179,1933
01180,860
01181,1291
01183,1508
01184,789
01185,5020
01187,639
01188,683
01189,1141
01190,90
01191,158
01192,2338
01193,229
01194,6439
01195,1837
01196,1239
01197,364
01198,271
01199,2183
01200,219
01202,7308
01203,1355
01204,750
01206,283
01207,329
01208,135
01209,794
01210,232
01211,1430
01212,727
01213,1370
01214,164
01215,143
01216,915
01219,167
01224,3256
01225,380
01227,657
01228,674
01229,1259
01230,319
01231,1996
01232,2323
01233,133
01234,172
01235,1246
01236,1040
01237,1732
01238,2726
01239,634
01240,643
01241,1390
01242,137
01243,1288
01244,8062
01245,964
01246,2253
01247,326
01248,2251
01249,10273
01250,2226
01252,808
01254,2167
01255,659
01257,361
01258,1222
01259,718
01260,307
01261,691
01262,6969
01263,3859
01264,1036
01265,3527
01266,2618
01267,1048
01268,249
01269,3589
01272,1520
01273,1827
01274,660
01275,2619
01276,1651
01277,119
01279,86
01280,139
01281,4653
01282,264
01283,22935
01284,707
01285,1259
01286,989
01288,2772
01289,6811
01290,1305
01291,849
01293,152
01294,902
01295,699
01296,428
01297,882
01298,152
01299,592
01301,2608
01302,168
01303,1735
01304,2977
01305,2256
01306,1705
01307,857
01308,821
01309,85
01310,255
01311,44
01313,8950
01314,1762
01317,336
01318,743
01319,475
01320,3882
01321,917
01322,5124
01323,1003
01325,1050
01328,601
01329,159
01330,188
01331,187
01332,802
01333,3428
01334,667
01335,408
01336,1196
01337,1338
01338,1264
01339,1506
01342,565
01343,1834
01344,6109
01345,2300
01346,877
01347,2098
01348,3003
01349,508
01350,2582
01351,1597
01352,589
01353,1728
01354,14143
01355,493
01356,213
01357,509
01358,432
01359,249
01360,1943
01361,1625
01362,801
01363,1842
01364,763
01365,1182
01366,1100
01367,750
01368,853
01369,967
01370,1716
01371,1271
01372,449
01373,1053
01374,1916
01375,802
01376,4001
01378,2699
01379,771
01380,645
01381,939
01382,281
01383,1583
01384,2221
01385,1008
01386,1193
01387,259
01388,1111
01389,1877
01390,1267
01391,279
01392,683
01393,549
01396,990
01397,997
01398,1438
01399,2158
01400,142
01401,2238
01402,672
01403,1336
01404,137
01405,1309
01406,175
01407,1020
01408,673
01410,307
01411,279
01412,607
01415,505
01416,1025
01418,1114
01419,6197
01420,1698
01421,745
01422,1391
01423,1145
01424,1819
01425,295
01426,2597
01427,7084
01428,127
01429,720
01430,631
01431,1257
01432,325
01433,317
01434,482
01435,2226
01436,492
01437,228
01439,103
01441,752
01443,5073
01444,1213
01445,636
01446,1585
01447,1374
01448,397
01449,773
01450,3784
01451,6745
01452,1156
01453,733
01454,1133
01456,73
01457,3240
02001,513
02002,618
02003,1045
02004,187
02005,388
02006,271
02007,123
02008,298
02009,540
02010,177
02011,1192
02012,71
02013,395
02014,752
02015,73
02016,225
02017,327
02018,2627
02019,367
02020,463
02021,87
02022,409
02023,105
02024,51
02025,369
02027,221
02028,2666
02029,366
02030,261
02031,667
02032,257
02033,106
02034,125
02035,289
02036,73
02037,1416
02038,59
02039,176
02040,183
02041,822
02042,386
02043,66
02044,25
02046,566
02047,113
02048,137
02049,752
02050,325
02051,397
02052,141
02053,577
02054,465
02055,90
02056,180
02057,1424
02058,866
02059,2742
02060,264
02061,253
02062,141
02063,386
02064,3885
02065,613
02066,198
02067,215
02068,92
02069,107
02070,457
02071,673
02072,188
02073,674
02074,603
02075,197
02076,155
02077,388
02078,166
02079,149
02080,342
02081,442
02082,110
02083,765
02084,262
02085,1040
02086,1017
02087,35
02088,95
02089,1169
02090,217
02091,96
02093,1357
02094,473
02095,5764
02096,200
02097,258
02098,393
02099,226
02100,138
02101,197
02102,197
02103,1355
02104,103
02105,198
02106,822
02107,111
02108,163
02109,485
02110,2260
02111,732
02112,566
02114,1600
02115,196
02116,148
02117,68
02118,131
02119,333
02120,202
02121,244
02122,55
02123,306
02124,661
02125,204
02126,460
02127,197
02128,1522
02129,18
02130,201
02131,1903
02132,197
02133,413
02134,880
02135,1174
02136,131
02137,160
02138,203
02139,447
02140,463
02141,1857
02142,258
02143,191
02144,147
02145,555
02146,95
02148,257
02149,64
02150,63
02151,119
02152,89
02153,784
02154,372
02155,171
02156,258
02157,859
02158,275
02159,297
02160,556
02162,299
02163,2627
02164,332
02165,1680
02166,365
02167,904
02168,15616
02169,84
02170,125
02171,89
02172,261
02173,12072
02174,845
02175,165
02176,209
02177,141
02178,108
02179,393
02180,735
02181,80
02182,120
02183,186
02184,356
02185,405
02186,1396
02187,1149
02188,151
02189,358
02190,530
02191,528
02192,378
02193,66
02194,194
02195,935
02196,318
02197,637
02198,230
02199,609
02200,107
02201,447
02203,1302
02204,67
02205,232
02206,79
02207,219
02208,273
02209,719
02210,370
02211,297
02212,719
02213,345
02214,62
02215,847
02216,298
02217,1001
02218,640
02219,272
02220,451
02221,156
02222,32
02223,313
02224,350
02225,86
02226,1893
02227,121
02228,345
02229,71
02230,192
02231,950
02232,372
02233,153
02234,84
02235,118
02236,333
02237,1518
02238,1847
02239,1329
02240,221
02241,99
02242,652
02243,2970
02244,66
02245,1840
02246,615
02248,159
02249,100
02250,77
02251,28
02252,73
02253,361
02254,134
02255,155
02256,132
02257,450
02258,383
02259,407
02260,661
02261,400
02262,214
02263,112
02264,746
02265,101
02266,48
02267,302
02268,660
02269,161
02270,167
02271,132
02272,80
02273,207
02274,201
02275,325
02276,122
02277,349
02278,33
02279,578
02280,421
02281,267
02282,435
02283,295
02284,103
02286,878
02287,1075
02288,355
02289,422
02290,2818
02291,418
02292,1333
02293,563
02294,215
02295,860
02296,1218
02297,123
02298,1429
02299,552
02302,333
02303,696
02304,2973
02305,3056
02306,519
02307,2219
02308,484
02309,676
02310,255
02311,122
02312,1110
02313,449
02315,1703
02316,133
02317,222
02318,1399
02319,498
02320,241
