Code,Categorie,Nom fédération,Nom catégorie
"CF-101",1,"Fédération Française d'athlétisme","Fédération unisport olympique"
"CF-102",1,"Fédération Française des sociétés d'aviron","Fédération unisport olympique"
"CF-103",1,"Fédération Française de badminton","Fédération unisport olympique"
"CF-105",1,"Fédération Française de basketball","Fédération unisport olympique"
"CF-106",1,"Fédération Française de boxe","Fédération unisport olympique"
"CF-107",1,"Fédération Française de canoë-kayak","Fédération unisport olympique"
"CF-108",1,"Fédération Française de cyclisme","Fédération unisport olympique"
"CF-109",1,"Fédération Française d'équitation","Fédération unisport olympique"
"CF-110",1,"Fédération Française d'escrime","Fédération unisport olympique"
"CF-111",1,"Fédération Française de football","Fédération unisport olympique"
"CF-112",1,"Fédération Française des sports de glace","Fédération unisport olympique"
"CF-113",1,"Fédération Française de gymnastique","Fédération unisport olympique"
"CF-114",1,"Fédération Française d’haltérophilie - musculation","Fédération unisport olympique"
"CF-115",1,"Fédération Française de handball","Fédération unisport olympique"
"CF-116",1,"Fédération Française de hockey","Fédération unisport olympique"
"CF-117",1,"Fédération Française de judo-jujitsu, kendo et disciplines associées","Fédération unisport olympique"
"CF-118",1,"Fédération Française de lutte","Fédération unisport olympique"
"CF-119",1,"Fédération Française de natation","Fédération unisport olympique"
"CF-120",1,"Fédération française de pentathlon moderne","Fédération unisport olympique"
"CF-121",1,"Fédération Française de ski","Fédération unisport olympique"
"CF-122",1,"Fédération Française de taekwondo et disciplines associées","Fédération unisport olympique"
"CF-123",1,"Fédération Française de tennis","Fédération unisport olympique"
"CF-124",1,"Fédération Française de tennis de Table","Fédération unisport olympique"
"CF-125",1,"Fédération Française de tir","Fédération unisport olympique"
"CF-126",1,"Fédération Française de tir à l'arc","Fédération unisport olympique"
"CF-127",1,"Fédération Française de triathlon","Fédération unisport olympique"
"CF-128",1,"Fédération Française de voile","Fédération unisport olympique"
"CF-129",1,"Fédération Française de volleyball","Fédération unisport olympique"
"CF-131",1,"Fédération Française de hockey sur glace","Fédération unisport olympique"
"CF-132",1,"Fédération Française de golf","Fédération unisport olympique"
"CF-133",1,"Fédération Française de rugby","Fédération unisport olympique"
"CF-134",1,"FF de karaté et disciplines associées","Fédération unisport olympique"
"CF-135",1,"FF de la montagne et de l'escalade","Fédération unisport olympique"
"CF-136",1,"FF de roller et skateboard","Fédération unisport olympique"
"CF-137",1,"FF de surf","Fédération unisport olympique"
"CF-138",1,"FF de baseball et softball","Fédération unisport olympique"
"CF-201",2,"Fédération Française d'aéromodélisme","Fédération unisport non olympique"
"CF-202",2,"Fédération Nationale aéronautique","Fédération unisport non olympique"
"CF-203",2,"Fédération Française d'aérostation","Fédération unisport non olympique"
"CF-204",2,"Fédération Française d'aïkido, aïkibudo et affinitaires","Fédération unisport non olympique"
"CF-205",2,"Fédération Française d'aïkido et de budo","Fédération unisport non olympique"
"CF-206",2,"Fédération Française du sport automobile","Fédération unisport non olympique"
"CF-207",2,"Fédération Française de jeu de balle au tambourin","Fédération unisport non olympique"
"CF-208",2,"Fédération Française de ballon au poing","Fédération unisport non olympique"
"CF-209",2,"Fédération Française de ball-trap","Fédération unisport non olympique"
"CF-210",2,"Fédération Française de billard","Fédération unisport non olympique"
"CF-211",2,"Fédération Française du sport boules","Fédération unisport non olympique"
"CF-212",2,"Fédération Française de savate, boxe française et disciplines associées","Fédération unisport non olympique"
"CF-213",2,"Fédération Française de bowling et de sports de quilles","Fédération unisport non olympique"
"CF-214",2,"Fédération Française de char à voile","Fédération unisport non olympique"
"CF-215",2,"Fédération Française de la course camarguaise","Fédération unisport non olympique"
"CF-216",2,"Fédération Française de la course landaise","Fédération unisport non olympique"
"CF-217",2,"Fédération Française de course d'orientation","Fédération unisport non olympique"
"CF-218",2,"Fédération Française de cyclotourisme","Fédération unisport non olympique"
"CF-219",2,"Fédération Française de danse","Fédération unisport non olympique"
"CF-220",2,"Fédération Française des échecs","Fédération unisport non olympique"
"CF-221",2,"Fédération Française d'études et sports sous-marins","Fédération unisport non olympique"
"CF-222",2,"Fédération Française de football américain","Fédération unisport non olympique"
"CF-224",2,"Fédération Française de giraviation","Fédération unisport non olympique"
"CF-226",2,"Fédération Française de javelot tir sur cible","Fédération unisport non olympique"
"CF-227",2,"Fédération Française de jeu de paume","Fédération unisport non olympique"
"CF-228",2,"Fédération Française de joutes et sauvetage nautique","Fédération unisport non olympique"
"CF-231",2,"Fédération Française de longue paume","Fédération unisport non olympique"
"CF-233",2,"Fédération Française de motocyclisme","Fédération unisport non olympique"
"CF-234",2,"Fédération Française motonautique","Fédération unisport non olympique"
"CF-237",2,"Fédération Française de parachutisme","Fédération unisport non olympique"
"CF-241",2,"Fédération Française de pelote basque","Fédération unisport non olympique"
"CF-242",2,"Fédération Française de pétanque et jeu provençal","Fédération unisport non olympique"
"CF-243",2,"Fédération Française de planeur ultra-léger motorisé","Fédération unisport non olympique"
"CF-244",2,"Fédération Française de Pulka et Traîneau à Chiens","Fédération unisport non olympique"
"CF-245",2,"Fédération Française de la randonnée pédestre","Fédération unisport non olympique"
"CF-248",2,"Fédération Française de rugby à XIII","Fédération unisport non olympique"
"CF-249",2,"Fédération Française de sauvetage et secourisme","Fédération unisport non olympique"
"CF-250",2,"Fédération Française de ski nautique","Fédération unisport non olympique"
"CF-251",2,"Fédération Française de spéléologie","Fédération unisport non olympique"
"CF-252",2,"Fédération Française de squash","Fédération unisport non olympique"
"CF-254",2,"Fédérationdes arts énergétiques et martiaux chinois","Fédération unisport non olympique"
"CF-255",2,"Fédération Française des sports de traîneau, de ski pulka et de cross canins ","Fédération unisport non olympique"
"CF-256",2,"Fédération Française de twirling bâton","Fédération unisport non olympique"
"CF-257",2,"Fédération Française de vol à voile","Fédération unisport non olympique"
"CF-258",2,"Fédération Française de vol libre","Fédération unisport non olympique"
"CF-260",2,"Fédération française de polo","Fédération unisport non olympique"
"CF-261",2,"Fédération française de kick boxing, muay thaï et disciplines associées","Fédération unisport non olympique"
"CF-263",2,"Fédération Française de double dutch","Fédération unisport non olympique"
"CF-264",2,"Fédération Flying Disc France","Fédération unisport non olympique"
"CF-265",2,"Fédération nautique de pêche sportive en apnée","Fédération unisport non olympique"
"CF-266",2,"Fédération de force","Fédération unisport non olympique"
"CF-267",2,"Fédération Française des pêches sportives","Fédération unisport non olympique"
"CF-401",4,"Fédération Française des clubs alpins et de montagne","Fédération multisports affinitaire"
"CF-402",4,"Fédération Française d'éducation physique et de gymnastique volontaire","Fédération multisports affinitaire"
"CF-403",4,"Fédération Française sports pour tous","Fédération multisports affinitaire"
"CF-404",4,"Fédération Française de la retraite sportive","Fédération multisports affinitaire"
"CF-405",4,"Fédération Française du sport travailliste","Fédération multisports affinitaire"
"CF-406",4,"Fédération des clubs de la Défense","Fédération multisports affinitaire"
"CF-407",4,"Fédération nationale du sport en milieu rural","Fédération multisports affinitaire"
"CF-408",4,"Fédération sportive et culturelle de France","Fédération multisports affinitaire"
"CF-409",4,"Fédération Française Maccabi","Fédération multisports affinitaire"
"CF-410",4,"Fédération sportive et gymnique du travail","Fédération multisports affinitaire"
