PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target
1,"01002","TYPEMR|3|2","csp_8_4","dip|1|2",TRUE,18,"ACT2.2","Male","A"
6,"01004","TYPEMR|1|1","csp_7_4","dip|1|9",FALSE,75,"ACT2.1","Male","A"
9,"01004","TYPEMR|4|1","csp_5_4","dip|1|6",FALSE,46,"ACT1.1","Female","A"
11,"01004","TYPEMR|4|1","csp_6_7","dip|1|3",FALSE,33,"ACT1.1","Male","E"
14,"01004","TYPEMR|4|1","csp_8_4","dip|3",TRUE,18,"ACT2.2","Male","E"
20,"01004","TYPEMR|4|1","csp_5_3","dip|1|2",FALSE,24,"ACT1.1","Male","A"
22,"01004","TYPEMR|4|1","csp_4_3","dip|1|7",FALSE,23,"ACT1.1","Female","A"
23,"01004","TYPEMR|1|1","csp_5_3","dip|1|5",FALSE,40,"ACT1.1","Male","E"
33,"01007","TYPEMR|4|1","csp_5_5","dip|3",FALSE,43,"ACT1.1","Male","E"
34,"01007","TYPEMR|3|2","csp_8_4","dip|1|2",TRUE,17,"ACT2.2","Female","A"
37,"01009","TYPEMR|4|3","csp_6_3","dip|1|5",FALSE,30,"ACT1.1","Female","A"
39,"01010","TYPEMR|4|4","csp_7_8","dip|1|1",FALSE,82,"ACT2.1","Male","E"
40,"01010","TYPEMR|1|2","csp_4_3","dip|1|7",FALSE,59,"ACT1.1","Female","E"
41,"01010","TYPEMR|4|1","csp_6_9","dip|1",FALSE,61,"ACT1.1","Male","A"
46,"01014","TYPEMR|4|4","csp_7_8","dip|1|1",FALSE,67,"ACT2.1","Female","A"
47,"01014","TYPEMR|1|1","csp_7_5","dip|1|7",FALSE,70,"ACT2.1","Male","E"
48,"01014","TYPEMR|4|1","csp_5_3","dip|1|6",FALSE,45,"ACT1.1","Male","A"
50,"01014","TYPEMR|4|1","csp_3_1","dip|1|8",FALSE,52,"ACT1.1","Female","E"
54,"01021","TYPEMR|4|1","csp_6_3","dip|1|3",FALSE,30,"ACT1.1","Male","A"
55,"01021","TYPEMR|1|2","csp_7_4","dip|1|6",FALSE,64,"ACT2.1","Female","E"
56,"01022","TYPEMR|4|2","csp_5_2","dip|1|3",FALSE,40,"ACT1.2","Female","A"
57,"01022","TYPEMR|3|2","csp_8_5","dip|1",FALSE,30,"ACT2.5","Male","A"
60,"01025","TYPEMR|4|2","csp_4_3","dip|1|7",FALSE,37,"ACT1.1","Male","A"
61,"01025","TYPEMR|4|1","csp_5_2","dip|1|3",FALSE,43,"ACT1.1","Male","A"
62,"01025","TYPEMR|3|2","csp_8_4","dip|1|2",TRUE,18,"ACT2.2","Male","A"
65,"01026","TYPEMR|4|2","csp_5_2","dip|1|7",FALSE,45,"ACT1.1","Male","E"
66,"01026","TYPEMR|4|1","csp_8_4","dip|1|2",TRUE,15,"ACT2.2","Female","A"
