PRIMARY_KEY,emp_type
9,"EMP1.6"
11,"EMP1.6"
20,"EMP1.5"
22,"EMP1.5"
23,"EMP1.6"
33,"EMP1.6"
37,"EMP1.6"
40,"EMP1.6"
41,"EMP1.5"
48,"EMP1.6"
50,"EMP1.6"
54,"EMP1.6"
60,"EMP2.1"
61,"EMP1.6"
65,"EMP1.6"
67,"EMP1.6"
76,"EMP1.5"
81,"EMP1.6"
86,"EMP1.6"
87,"EMP2.2"
88,"EMP2.2"
91,"EMP1.6"
94,"EMP1.6"
97,"EMP1.6"
105,"EMP1.6"
111,"EMP1.6"
112,"EMP2.1"
116,"EMP1.6"
120,"EMP1.6"
129,"EMP1.6"
132,"EMP1.6"
136,"EMP1.6"
138,"EMP1.6"
141,"EMP1.6"
142,"EMP2.1"
144,"EMP1.6"
146,"EMP1.6"
147,"EMP1.6"
149,"EMP1.6"
150,"EMP1.6"
154,"EMP2.1"
155,"EMP1.1"
163,"EMP1.6"
166,"EMP1.6"
174,"EMP1.6"
180,"EMP1.6"
185,"EMP1.6"
189,"EMP1.6"
190,"EMP1.6"
193,"EMP1.6"
199,"EMP1.6"
208,"EMP1.6"
219,"EMP1.5"
222,"EMP1.6"
223,"EMP1.6"
224,"EMP1.6"
227,"EMP1.6"
232,"EMP1.6"
241,"EMP1.6"
243,"EMP1.2"
250,"EMP1.6"
254,"EMP1.1"
256,"EMP1.6"
258,"EMP1.6"
260,"EMP1.6"
265,"EMP1.6"
272,"EMP1.6"
274,"EMP1.6"
277,"EMP1.6"
278,"EMP2.1"
279,"EMP1.6"
280,"EMP2.1"
282,"EMP1.5"
284,"EMP1.3"
285,"EMP2.1"
287,"EMP1.6"
288,"EMP1.6"
290,"EMP1.6"
293,"EMP1.6"
294,"EMP1.6"
297,"EMP1.6"
305,"EMP1.6"
309,"EMP1.6"
313,"EMP1.6"
317,"EMP1.6"
321,"EMP1.6"
323,"EMP1.6"
325,"EMP1.6"
326,"EMP2.3"
332,"EMP1.6"
333,"EMP1.6"
338,"EMP1.2"
345,"EMP1.6"
351,"EMP1.6"
360,"EMP1.6"
371,"EMP1.6"
374,"EMP1.6"
379,"EMP1.6"
380,"EMP1.6"
381,"EMP1.6"
384,"EMP1.6"
385,"EMP1.6"
389,"EMP1.6"
392,"EMP1.6"
393,"EMP2.1"
399,"EMP1.6"
400,"EMP1.6"
402,"EMP1.6"
403,"EMP1.6"
408,"EMP2.1"
409,"EMP1.6"
413,"EMP1.6"
414,"EMP1.6"
415,"EMP2.1"
416,"EMP1.6"
419,"EMP1.6"
421,"EMP1.6"
423,"EMP1.5"
434,"EMP1.6"
435,"EMP1.6"
439,"EMP1.6"
443,"EMP1.6"
447,"EMP1.6"
456,"EMP1.6"
473,"EMP1.6"
474,"EMP1.6"
476,"EMP1.6"
482,"EMP1.6"
499,"EMP1.6"
505,"EMP1.6"
509,"EMP1.6"
517,"EMP1.6"
520,"EMP1.1"
525,"EMP1.6"
527,"EMP1.5"
529,"EMP1.6"
537,"EMP1.6"
541,"EMP1.6"
544,"EMP1.6"
545,"EMP1.6"
553,"EMP1.6"
555,"EMP1.6"
559,"EMP1.6"
563,"EMP1.6"
568,"EMP1.6"
575,"EMP1.6"
577,"EMP1.5"
581,"EMP1.6"
588,"EMP1.5"
592,"EMP1.6"
593,"EMP2.1"
594,"EMP1.6"
598,"EMP1.6"
599,"EMP2.2"
601,"EMP1.6"
605,"EMP1.6"
611,"EMP1.6"
614,"EMP1.6"
616,"EMP1.5"
617,"EMP1.5"
619,"EMP1.6"
621,"EMP1.6"
623,"EMP1.6"
628,"EMP1.5"
630,"EMP1.6"
631,"EMP1.5"
634,"EMP1.6"
636,"EMP1.6"
639,"EMP1.2"
643,"EMP1.6"
648,"EMP1.6"
650,"EMP1.6"
658,"EMP1.1"
664,"EMP1.6"
668,"EMP2.1"
672,"EMP2.2"
676,"EMP1.6"
682,"EMP1.5"
683,"EMP1.6"
684,"EMP1.5"
689,"EMP1.5"
692,"EMP2.1"
702,"EMP2.1"
703,"EMP2.1"
704,"EMP1.6"
706,"EMP1.6"
709,"EMP1.6"
710,"EMP1.6"
714,"EMP1.6"
722,"EMP1.6"
724,"EMP1.5"
725,"EMP1.6"
727,"EMP2.2"
729,"EMP1.6"
733,"EMP2.2"
734,"EMP1.6"
750,"EMP2.2"
756,"EMP1.6"
765,"EMP1.6"
767,"EMP1.6"
770,"EMP1.6"
774,"EMP1.6"
778,"EMP1.6"
780,"EMP1.6"
783,"EMP1.6"
784,"EMP1.6"
785,"EMP1.5"
786,"EMP1.6"
788,"EMP1.2"
791,"EMP1.6"
792,"EMP1.5"
795,"EMP1.6"
797,"EMP1.6"
805,"EMP1.6"
807,"EMP1.6"
811,"EMP2.2"
813,"EMP2.1"
814,"EMP1.5"
817,"EMP1.6"
823,"EMP1.6"
831,"EMP1.6"
833,"EMP1.6"
839,"EMP1.6"
844,"EMP1.6"
847,"EMP1.6"
848,"EMP1.6"
849,"EMP1.6"
850,"EMP1.6"
856,"EMP2.2"
858,"EMP1.6"
868,"EMP1.6"
869,"EMP1.6"
870,"EMP1.6"
877,"EMP1.6"
881,"EMP1.6"
885,"EMP2.2"
887,"EMP2.2"
888,"EMP1.6"
890,"EMP1.6"
893,"EMP1.5"
894,"EMP2.2"
909,"EMP1.6"
910,"EMP2.1"
922,"EMP1.6"
930,"EMP1.6"
932,"EMP1.1"
937,"EMP1.6"
942,"EMP1.6"
949,"EMP1.6"
955,"EMP1.6"
959,"EMP1.6"
963,"EMP1.6"
964,"EMP1.6"
965,"EMP1.6"
971,"EMP1.6"
972,"EMP1.6"
978,"EMP1.6"
981,"EMP1.6"
982,"EMP2.2"
984,"EMP2.1"
986,"EMP1.6"
991,"EMP1.1"
996,"EMP1.6"
997,"EMP1.6"
998,"EMP1.6"
1002,"EMP1.5"
1004,"EMP1.6"
1012,"EMP1.6"
1017,"EMP1.6"
1018,"EMP1.6"
1024,"EMP1.6"
1027,"EMP1.5"
1028,"EMP1.6"
1031,"EMP2.2"
1035,"EMP1.5"
1037,"EMP1.6"
1039,"EMP1.6"
1040,"EMP1.5"
1044,"EMP1.6"
1045,"EMP2.1"
1050,"EMP1.2"
1054,"EMP2.2"
1058,"EMP1.5"
1060,"EMP1.5"
1061,"EMP1.6"
1067,"EMP1.6"
1071,"EMP1.6"
1077,"EMP1.6"
1082,"EMP1.6"
1084,"EMP1.6"
1086,"EMP1.6"
1087,"EMP1.6"
1090,"EMP1.1"
1092,"EMP2.1"
1107,"EMP1.6"
1113,"EMP1.6"
1116,"EMP2.2"
1127,"EMP1.5"
1135,"EMP1.6"
1146,"EMP1.6"
1149,"EMP1.6"
1151,"EMP1.6"
1154,"EMP1.6"
1160,"EMP1.6"
1165,"EMP1.6"
1180,"EMP1.6"
1188,"EMP2.2"
1189,"EMP1.6"
1201,"EMP1.6"
1204,"EMP1.6"
1212,"EMP1.6"
1214,"EMP1.6"
1215,"EMP1.5"
1217,"EMP1.6"
1218,"EMP1.6"
1219,"EMP1.3"
1221,"EMP1.6"
1234,"EMP1.6"
1236,"EMP1.6"
1244,"EMP1.6"
1250,"EMP1.6"
1256,"EMP1.6"
1273,"EMP1.6"
1277,"EMP1.3"
1278,"EMP1.6"
1282,"EMP1.2"
1283,"EMP1.5"
1285,"EMP1.6"
1286,"EMP1.6"
1298,"EMP1.6"
1307,"EMP1.6"
1310,"EMP1.6"
1315,"EMP1.6"
1321,"EMP1.6"
1322,"EMP1.6"
1327,"EMP1.6"
1329,"EMP1.6"
1330,"EMP1.3"
1331,"EMP1.6"
1335,"EMP1.6"
1337,"EMP2.2"
1342,"EMP1.6"
1345,"EMP1.6"
1347,"EMP1.6"
1348,"EMP1.6"
1358,"EMP1.6"
1359,"EMP1.6"
1366,"EMP1.6"
1368,"EMP1.6"
1378,"EMP1.6"
1388,"EMP1.5"
1392,"EMP1.6"
1395,"EMP1.6"
1398,"EMP1.5"
1403,"EMP1.5"
1405,"EMP1.6"
1415,"EMP1.6"
1416,"EMP1.6"
1417,"EMP1.6"
1422,"EMP2.1"
1424,"EMP1.6"
1425,"EMP1.5"
1426,"EMP1.6"
1429,"EMP1.6"
1436,"EMP1.6"
1447,"EMP1.6"
1448,"EMP1.6"
1449,"EMP1.6"
1459,"EMP1.5"
1463,"EMP1.6"
1475,"EMP1.5"
1480,"EMP1.6"
1481,"EMP1.5"
1482,"EMP1.5"
1489,"EMP1.6"
1492,"EMP1.6"
1493,"EMP1.5"
1504,"EMP1.6"
1509,"EMP2.3"
1510,"EMP1.6"
1513,"EMP1.6"
1514,"EMP1.1"
1518,"EMP1.1"
1528,"EMP1.6"
1530,"EMP1.6"
1540,"EMP1.6"
1541,"EMP2.1"
1545,"EMP1.6"
1547,"EMP1.2"
1549,"EMP1.6"
1551,"EMP1.6"
1553,"EMP1.6"
1556,"EMP1.6"
1557,"EMP1.6"
1563,"EMP1.6"
1567,"EMP1.6"
1571,"EMP1.6"
1575,"EMP1.6"
1582,"EMP1.2"
1589,"EMP1.6"
1600,"EMP1.6"
1603,"EMP1.6"
1610,"EMP1.6"
1614,"EMP1.1"
1620,"EMP1.6"
1624,"EMP2.2"
1626,"EMP1.6"
1628,"EMP1.6"
1634,"EMP1.6"
1637,"EMP1.6"
1640,"EMP1.6"
1645,"EMP1.6"
1646,"EMP1.6"
1653,"EMP1.5"
1654,"EMP1.6"
1658,"EMP1.6"
1659,"EMP1.6"
1661,"EMP1.6"
1670,"EMP1.6"
1671,"EMP1.6"
1677,"EMP1.6"
1678,"EMP2.1"
1679,"EMP1.6"
1682,"EMP1.6"
1694,"EMP1.6"
1695,"EMP1.6"
1711,"EMP1.6"
1713,"EMP1.6"
1724,"EMP1.5"
1732,"EMP1.6"
1738,"EMP1.6"
1741,"EMP1.6"
1743,"EMP2.1"
1744,"EMP1.6"
1745,"EMP2.1"
1746,"EMP1.6"
1767,"EMP1.6"
1769,"EMP1.6"
1773,"EMP1.6"
1778,"EMP1.6"
1783,"EMP1.6"
1784,"EMP2.2"
1790,"EMP1.6"
1811,"EMP1.6"
1822,"EMP2.1"
1833,"EMP1.6"
1834,"EMP1.6"
1837,"EMP1.6"
1860,"EMP1.6"
1865,"EMP1.6"
1886,"EMP1.6"
1887,"EMP2.2"
1888,"EMP1.6"
1894,"EMP1.6"
1897,"EMP1.6"
1899,"EMP2.2"
1912,"EMP1.6"
1914,"EMP1.5"
1918,"EMP1.6"
1927,"EMP1.6"
1934,"EMP1.2"
1935,"EMP2.2"
1938,"EMP1.6"
1939,"EMP1.6"
1940,"EMP1.6"
1941,"EMP1.6"
1945,"EMP2.1"
1950,"EMP1.6"
1954,"EMP1.5"
1958,"EMP1.6"
1964,"EMP1.5"
1972,"EMP1.6"
1974,"EMP2.1"
1986,"EMP1.2"
1987,"EMP2.1"
1991,"EMP1.6"
1998,"EMP1.4"
2001,"EMP2.1"
2011,"EMP1.6"
2013,"EMP2.1"
2017,"EMP1.5"
2018,"EMP1.6"
2024,"EMP1.2"
2025,"EMP2.1"
2027,"EMP1.6"
2028,"EMP1.5"
2031,"EMP1.6"
2033,"EMP1.6"
2044,"EMP1.6"
2045,"EMP1.6"
2052,"EMP1.6"
2055,"EMP2.2"
2060,"EMP1.6"
2063,"EMP1.6"
2065,"EMP1.6"
2066,"EMP1.6"
2068,"EMP1.6"
2069,"EMP1.6"
2071,"EMP1.6"
2073,"EMP1.6"
2076,"EMP1.6"
2079,"EMP1.5"
2083,"EMP1.1"
2084,"EMP1.6"
2087,"EMP1.6"
2092,"EMP1.6"
2093,"EMP1.6"
2094,"EMP1.6"
2095,"EMP1.6"
2101,"EMP1.6"
2105,"EMP1.6"
2106,"EMP1.6"
2110,"EMP2.1"
2116,"EMP1.6"
2139,"EMP1.6"
2145,"EMP1.6"
2148,"EMP1.6"
2156,"EMP2.1"
2158,"EMP2.2"
2159,"EMP1.6"
2160,"EMP1.6"
2162,"EMP2.2"
2174,"EMP1.6"
2189,"EMP1.6"
2195,"EMP1.6"
2197,"EMP1.5"
2199,"EMP1.6"
2200,"EMP1.6"
2206,"EMP1.6"
2212,"EMP1.6"
2213,"EMP2.2"
2214,"EMP1.6"
2217,"EMP1.6"
2219,"EMP1.6"
2229,"EMP1.6"
2235,"EMP1.6"
2238,"EMP1.6"
2245,"EMP1.5"
2249,"EMP1.6"
2252,"EMP1.6"
2253,"EMP1.6"
2267,"EMP1.6"
