PRIMARY_KEY,Working_hours,TYPE_OF_CONTRACT,company_category,Work_condition,ECO_SECT,job_desc,employee_count,Job_dep,remuneration,job_category
9,1935,"CDI","ct_8","C","OZ","545d","tr_6","01",24805,"O"
11,1697,"CDI","ct_9","C","CG","674a","tr_5","01",22962,"O"
20,NA,"AUT","ct_1","N","OZ","532c","tr_6","36",10594,"O"
22,1852,"CDD","ct_9","C","QA","431f","tr_6","01",29058,"O"
33,1912,"CDI","ct_9","C","GZ","552a","tr_5","69",20569,"O"
37,1130,"CDI","ct_9","C","IZ","636d","tr_1","69",13112,"O"
40,1796,"CDI","ct_8","C","QB","434a","tr_4","71",42271,"O"
48,490,"CDI","ct_9","C","NZ","534a","tr_5","69",6183,"O"
54,1723,"CDI","ct_9","C","FZ","632a","tr_2","01",23064,"O"
65,1920,"CDI","ct_9","C","QA","526e","tr_1","01",30912,"O"
67,264,"CDI","ct_9","C","GZ","551a","tr_5","01",2046,"O"
76,1820,"AUT","ct_3","C","QA","526a","tr_6","01",20745,"O"
81,1849,"CDI","ct_8","C","OZ","542a","tr_3","01",34499,"O"
86,1820,"CDI","ct_9","C","GZ","554a","tr_1","74",22959,"O"
91,1820,"CDI","ct_9","C","CG","387d","tr_5","01",25249,"O"
97,1745,"CDI","ct_9","C","CH","634b","tr_2","01",23854,"O"
105,1520,"CDI","ct_9","C","EZ","684b","tr_3","01",17577,"O"
111,1338,"CDI","ct_9","C","IZ","636d","tr_1","01",13248,"O"
116,576,"CDI","ct_9","C","CL","474b","tr_6","01",16935,"O"
120,1335,"CDI","ct_8","P","QA","431f","tr_1","01",19797,"O"
129,1820,"CDI","ct_8","C","PZ","422c","tr_5","01",17389,"O"
132,1766,"CDI","ct_9","C","MC","472a","tr_2","69",23711,"O"
136,1405,"CDI","ct_9","C","FZ","621c","tr_4","69",22134,"O"
138,1820,"CDI","ct_9","C","KZ","376c","tr_3","69",35715,"O"
141,1764,"CDI","ct_9","C","CG","543g","tr_5","01",23660,"O"
144,598,"CDI","ct_8","C","QB","526a","tr_4","01",11019,"O"
146,1911,"CDI","ct_9","C","GZ","636a","tr_4","01",34143,"O"
147,2401,"CDI","ct_8","C","PZ","341a","tr_3","07",36590,"O"
149,1470,"CDI","ct_8","P","QB","526a","tr_4","71",18688,"O"
150,1820,"CDI","ct_9","C","OZ","542a","tr_3","69",25389,"O"
155,1684,"APP","ct_9","C","NZ","543e","tr_1","01",10622,"A"
166,1432,"CDI","ct_9","C","GZ","552a","tr_1","01",12166,"O"
174,2042,"CDI","ct_9","C","GZ","634a","tr_1","69",29863,"O"
180,1797,"CDI","ct_9","C","QA","431f","tr_5","01",22474,"O"
185,828,"CDI","ct_9","C","IZ","636d","tr_2","69",15998,"O"
189,1715,"CDI","ct_9","C","FZ","632f","tr_1","69",21648,"O"
190,1810,"CDI","ct_9","C","GZ","461e","tr_5","01",36055,"O"
193,1753,"CDI","ct_9","C","GZ","551a","tr_5","01",21589,"O"
199,2511,"CDI","ct_9","C","GZ","551a","tr_5","01",29746,"O"
219,1753,"AUT","ct_1","P","PZ","341a","tr_4","01",38745,"O"
222,1861,"CDI","ct_9","C","CG","674a","tr_3","01",18796,"O"
223,667,"CDI","ct_9","P","IZ","561d","tr_3","01",6046,"O"
224,1715,"CDI","ct_8","C","QB","431b","tr_2","01",27886,"O"
227,568,"CDI","ct_2","C","OZ","621f","tr_3","01",4494,"O"
232,1903,"CDI","ct_9","C","EZ","477c","tr_2","38",34228,"O"
241,1701,"CDI","ct_9","C","GZ","553c","tr_1","01",31985,"O"
243,486,"AUT",NA,"C","FZ","684a",NA,"01",3329,"O"
250,1125,"CDI","ct_9","P","NZ","684a","tr_4","38",8752,"O"
256,1860,"CDI","ct_9","C","GZ","433d","tr_3","01",23860,"O"
258,1750,"CDI","ct_9","C","KZ","542a","tr_5","69",28663,"O"
265,1819,"CDI","ct_9","C","GZ","634c","tr_3","01",18242,"O"
272,939,"CDI","ct_9","C","IZ","551a","tr_1","01",19159,"O"
274,1598,"CDI","ct_8","C","QB","435b","tr_5","01",17393,"O"
