PRIMARY_KEY,LAST_JOB_42,last_emp_type,retirement_age
6,"csp_3_7","EMP1.6",56
39,"csp_6_8","EMP1.6",60
46,"csp_6_7","EMP1.6",60
47,"csp_4_2","EMP1.6",56
55,"csp_3_7","EMP1.6",64
69,"csp_4_8","EMP1.6",58
71,"csp_1_1","EMP2.1",60
74,"csp_2_1","EMP2.1",61
92,"csp_6_3","EMP1.6",63
96,"csp_6_7","EMP1.6",62
104,"csp_5_6","EMP1.6",63
107,"csp_5_2","EMP1.6",65
113,"csp_5_3","EMP1.6",60
128,"csp_6_8","EMP1.6",60
145,"csp_2_1","EMP2.1",62
151,"csp_6_4","EMP1.6",56
153,"csp_5_4","EMP1.6",55
158,"csp_1_1","EMP2.1",60
161,"csp_5_4","EMP1.6",60
167,"csp_6_3","EMP1.6",59
179,"csp_6_2","EMP1.6",57
183,"csp_2_2","EMP2.2",60
184,"csp_6_7","EMP1.6",62
187,"csp_6_3","EMP1.6",60
201,"csp_5_2","EMP1.6",60
203,"csp_6_8","EMP1.6",60
204,"csp_6_7","EMP1.6",55
206,"csp_4_7","EMP1.6",60
209,"csp_6_8","EMP1.6",65
217,"csp_5_2","EMP1.6",65
228,"csp_6_5","EMP1.6",63
240,"csp_5_5","EMP1.6",58
242,"csp_4_7","EMP1.6",60
245,"csp_1_1","EMP2.1",60
248,"csp_4_6","EMP1.6",55
252,"csp_5_2","EMP1.6",60
253,"csp_4_2","EMP1.6",65
275,"csp_4_6","EMP1.6",60
283,"csp_4_6","EMP1.6",60
295,"csp_5_2","EMP1.6",65
299,"csp_5_6","EMP1.5",60
302,"csp_5_4","EMP1.6",60
310,"csp_5_6","EMP1.6",60
316,"csp_6_5","EMP1.6",65
319,"csp_6_2","EMP1.6",62
324,"csp_4_2","EMP1.6",60
331,"csp_5_5","EMP1.6",61
334,"csp_4_5","EMP1.6",60
337,"csp_2_1","EMP2.1",63
344,"csp_5_4","EMP1.6",54
350,"csp_6_2","EMP1.6",55
357,"csp_4_2","EMP1.6",60
386,"csp_5_2","EMP1.6",65
391,"csp_5_4","EMP1.6",60
407,"csp_1_1","EMP2.2",57
410,"csp_6_4","EMP1.6",56
426,"csp_4_6","EMP1.6",60
427,"csp_2_1","EMP2.2",60
432,"csp_3_4","EMP1.6",55
433,"csp_3_7","EMP1.6",55
472,"csp_6_9","EMP1.6",65
479,"csp_5_5","EMP1.6",60
483,"csp_6_8","EMP1.5",65
485,"csp_1_1","EMP2.1",64
487,"csp_5_3","EMP1.6",60
495,"csp_6_3","EMP1.6",65
508,"csp_6_8","EMP1.6",60
510,"csp_4_6","EMP1.6",65
513,"csp_6_7","EMP1.6",65
519,"csp_5_6","EMP1.6",60
524,"csp_4_3","EMP1.6",60
526,"csp_4_8","EMP1.5",56
531,"csp_2_3","EMP2.2",60
532,"csp_6_4","EMP1.6",60
535,"csp_4_6","EMP1.6",60
554,"csp_6_4","EMP1.6",60
560,"csp_4_3","EMP1.6",64
562,"csp_6_2","EMP1.6",60
567,"csp_4_5","EMP1.6",57
580,"csp_6_2","EMP1.6",60
583,"csp_3_8","EMP1.6",65
589,"csp_5_2","EMP1.6",56
591,"csp_3_5","EMP1.6",59
595,"csp_2_2","EMP2.2",55
618,"csp_4_6","EMP1.6",55
626,"csp_6_7","EMP1.6",64
638,"csp_2_3","EMP2.2",60
644,"csp_6_8","EMP1.5",65
646,"csp_5_4","EMP1.6",65
647,"csp_5_3","EMP1.6",61
663,"csp_6_5","EMP1.2",54
680,"csp_2_1","EMP2.2",60
681,"csp_5_5","EMP1.6",64
686,"csp_5_6","EMP1.6",59
688,"csp_2_1","EMP2.1",60
698,"csp_5_2","EMP1.6",56
708,"csp_2_1","EMP2.2",64
717,"csp_5_2","EMP1.6",60
730,"csp_6_4","EMP1.6",60
749,"csp_5_2","EMP1.6",56
753,"csp_1_1","EMP2.1",61
757,"csp_1_1","EMP2.1",65
768,"csp_3_1","EMP2.1",60
773,"csp_3_5","EMP1.5",65
787,"csp_6_7","EMP1.5",59
789,"csp_4_7","EMP1.6",55
799,"csp_5_2","EMP1.6",60
803,"csp_4_3","EMP1.6",70
804,"csp_5_2","EMP1.6",65
812,"csp_4_2","EMP1.6",60
815,"csp_5_4","EMP1.6",61
819,"csp_5_2","EMP1.6",59
828,"csp_5_2","EMP1.6",60
830,"csp_6_9","EMP1.5",57
832,"csp_6_8","EMP1.3",63
836,"csp_1_1","EMP2.1",60
837,"csp_3_5","EMP1.5",60
863,"csp_1_1","EMP2.1",65
867,"csp_5_2","EMP1.6",65
871,"csp_5_6","EMP1.6",60
874,"csp_5_2","EMP1.6",55
896,"csp_6_4","EMP1.6",60
898,"csp_5_3","EMP1.5",65
902,"csp_5_6","EMP1.6",60
905,"csp_6_3","EMP1.6",56
907,"csp_6_7","EMP1.6",60
912,"csp_3_3","EMP1.6",60
918,"csp_4_6","EMP1.6",63
924,"csp_4_7","EMP1.6",60
928,"csp_6_4","EMP1.5",60
934,"csp_2_3","EMP2.2",60
938,"csp_5_2","EMP1.6",56
944,"csp_1_1","EMP2.2",60
945,"csp_1_1","EMP2.1",60
948,"csp_5_4","EMP1.6",65
956,"csp_6_4","EMP1.6",60
970,"csp_5_2","EMP1.6",55
992,"csp_3_8","EMP1.6",60
1005,"csp_6_5","EMP1.6",55
1013,"csp_6_3","EMP1.6",60
1016,"csp_5_2","EMP1.6",60
1030,"csp_5_2","EMP1.6",60
1041,"csp_2_1","EMP2.1",60
1043,"csp_4_6","EMP1.6",55
1057,"csp_6_7","EMP1.6",58
1076,"csp_4_8","EMP1.6",64
1078,"csp_5_6","EMP1.6",60
1079,"csp_4_2","EMP1.6",60
1089,"csp_2_1","EMP2.1",62
1091,"csp_5_4","EMP1.6",63
1094,"csp_6_4","EMP1.6",55
1095,"csp_6_8","EMP1.3",60
1100,"csp_6_8","EMP1.6",65
1105,"csp_1_1","EMP2.1",60
1108,"csp_4_7","EMP1.6",56
1124,"csp_2_1","EMP2.1",60
1133,"csp_6_3","EMP1.6",60
1140,"csp_5_2","EMP1.6",60
1143,"csp_6_7","EMP1.6",60
1157,"csp_4_2","EMP2.2",60
1166,"csp_6_8","EMP1.6",55
1175,"csp_5_6","EMP1.6",64
1181,"csp_2_2","EMP2.1",57
1192,"csp_5_2","EMP1.6",60
1195,"csp_2_2","EMP2.2",53
1196,"csp_6_7","EMP1.6",57
1209,"csp_5_4","EMP1.6",65
1224,"csp_6_7","EMP1.6",63
1231,"csp_1_1","EMP2.1",65
1243,"csp_5_6","EMP1.6",60
1263,"csp_5_2","EMP1.5",60
1265,"csp_4_2","EMP1.6",63
1269,"csp_3_7","EMP1.6",64
1271,"csp_5_2","EMP1.6",60
1284,"csp_6_5","EMP1.6",63
1299,"csp_6_4","EMP1.6",59
1301,"csp_6_5","EMP1.6",60
1302,"csp_6_8","EMP1.6",60
1303,"csp_4_6","EMP1.6",55
1305,"csp_4_6","EMP1.6",60
1314,"csp_4_2","EMP1.6",60
1316,"csp_6_8","EMP1.6",60
1334,"csp_2_2","EMP2.1",60
1340,"csp_4_7","EMP1.6",60
1341,"csp_6_8","EMP1.6",60
1363,"csp_5_2","EMP1.6",65
1375,"csp_4_3","EMP1.6",60
1385,"csp_4_7","EMP1.6",60
1387,"csp_4_2","EMP1.6",60
1390,"csp_4_7","EMP1.6",60
1399,"csp_6_7","EMP1.6",65
1402,"csp_5_2","EMP1.6",65
1406,"csp_4_3","EMP1.6",61
1408,"csp_6_7","EMP1.6",65
1411,"csp_6_7","EMP1.6",60
1412,"csp_6_7","EMP1.2",65
1433,"csp_6_7","EMP1.6",60
1454,"csp_6_7","EMP1.3",61
1457,"csp_6_5","EMP1.6",59
1460,"csp_6_9","EMP1.6",61
1464,"csp_2_1","EMP2.2",60
1465,"csp_5_2","EMP1.6",56
1467,"csp_5_2","EMP1.6",60
1485,"csp_6_8","EMP1.6",60
1490,"csp_5_2","EMP1.6",60
1499,"csp_4_5","EMP1.6",60
1502,"csp_6_7","EMP1.2",60
1516,"csp_5_2","EMP1.5",60
1532,"csp_5_2","EMP1.6",60
1535,"csp_5_2","EMP1.6",60
1538,"csp_6_7","EMP1.6",60
1555,"csp_6_8","EMP1.6",61
1558,"csp_6_7","EMP1.6",60
1565,"csp_5_2","EMP1.6",60
1572,"csp_6_2","EMP1.6",60
1574,"csp_5_6","EMP1.5",59
1587,"csp_3_4","EMP1.6",65
1592,"csp_5_2","EMP1.6",63
1596,"csp_4_7","EMP1.6",61
1599,"csp_4_6","EMP1.6",60
1606,"csp_1_1","EMP2.1",60
1607,"csp_6_4","EMP1.6",60
1622,"csp_1_1","EMP2.1",60
1625,"csp_4_3","EMP2.1",60
1632,"csp_5_2","EMP1.6",55
1651,"csp_1_1","EMP2.1",60
1655,"csp_6_3","EMP1.6",60
1668,"csp_5_6","EMP1.3",53
1672,"csp_5_2","EMP1.6",63
1680,"csp_6_4","EMP1.6",58
1689,"csp_3_3","EMP1.6",55
1693,"csp_5_2","EMP1.6",60
1701,"csp_4_3","EMP1.6",60
1704,"csp_3_7","EMP1.6",59
1719,"csp_6_7","EMP1.5",60
1723,"csp_6_8","EMP1.6",60
1725,"csp_2_2","EMP2.2",60
1730,"csp_6_2","EMP1.6",60
1734,"csp_4_6","EMP1.6",66
1736,"csp_1_1","EMP2.1",63
1742,"csp_5_6","EMP1.3",55
1747,"csp_5_2","EMP1.6",61
1755,"csp_6_9","EMP1.5",60
1759,"csp_6_7","EMP1.6",60
1761,"csp_6_4","EMP1.6",57
1766,"csp_4_8","EMP1.6",56
1776,"csp_6_8","EMP1.6",60
1777,"csp_5_6","EMP1.6",60
1786,"csp_1_1","EMP2.1",60
1792,"csp_6_8","EMP1.5",54
1795,"csp_6_8","EMP1.6",59
1798,"csp_6_2","EMP1.6",60
1812,"csp_5_2","EMP1.6",60
1815,"csp_6_4","EMP1.6",55
1823,"csp_3_7","EMP1.6",60
1825,"csp_4_7","EMP1.6",60
1828,"csp_6_2","EMP1.6",57
1831,"csp_6_2","EMP1.6",60
1832,"csp_4_6","EMP1.6",59
1842,"csp_6_4","EMP1.6",55
1843,"csp_6_2","EMP1.6",56
1845,"csp_5_2","EMP1.6",65
1851,"csp_4_6","EMP1.6",56
1856,"csp_4_6","EMP1.6",55
1864,"csp_2_1","EMP2.1",65
1878,"csp_1_1","EMP2.1",60
1881,"csp_6_4","EMP1.6",65
1882,"csp_6_8","EMP1.6",65
1885,"csp_6_4","EMP1.6",64
1890,"csp_5_6","EMP1.5",60
1892,"csp_5_2","EMP1.6",60
1900,"csp_3_8","EMP1.6",57
1910,"csp_4_7","EMP1.6",59
1915,"csp_3_7","EMP1.6",56
1917,"csp_5_5","EMP1.6",56
1923,"csp_4_5","EMP1.6",61
1924,"csp_3_4","EMP1.6",59
1946,"csp_4_7","EMP1.6",60
1953,"csp_4_7","EMP1.6",60
1959,"csp_6_7","EMP1.5",60
1967,"csp_5_5","EMP1.6",60
1970,"csp_5_4","EMP1.6",67
1981,"csp_5_2","EMP1.6",60
1990,"csp_5_2","EMP1.6",60
1992,"csp_2_2","EMP2.1",60
2019,"csp_2_2","EMP2.1",63
2021,"csp_6_8","EMP1.6",60
2022,"csp_6_3","EMP1.6",60
2036,"csp_4_3","EMP2.1",60
2039,"csp_5_2","EMP1.6",64
2040,"csp_2_2","EMP2.1",58
2041,"csp_3_8","EMP1.6",59
2042,"csp_4_2","EMP1.6",65
2058,"csp_3_7","EMP1.6",61
2064,"csp_6_4","EMP1.6",60
2077,"csp_5_4","EMP1.6",60
2090,"csp_5_4","EMP1.6",60
2091,"csp_4_6","EMP1.6",61
2096,"csp_5_4","EMP1.6",62
2099,"csp_6_8","EMP1.6",60
2114,"csp_6_8","EMP1.6",60
2118,"csp_1_1","EMP2.1",55
2130,"csp_5_4","EMP1.6",64
2135,"csp_3_8","EMP1.6",60
2141,"csp_6_4","EMP1.6",60
2149,"csp_4_6","EMP1.6",54
2161,"csp_5_5","EMP1.5",60
2165,"csp_6_8","EMP1.6",56
2166,"csp_5_6","EMP1.6",60
2172,"csp_5_6","EMP1.6",56
2179,"csp_3_8","EMP1.6",55
2190,"csp_4_6","EMP1.6",65
2198,"csp_4_3","EMP2.1",60
2201,"csp_5_2","EMP1.6",55
2202,"csp_4_5","EMP1.6",60
2203,"csp_5_6","EMP1.6",60
2208,"csp_5_2","EMP1.3",60
2216,"csp_1_1","EMP2.2",62
2221,"csp_4_3","EMP1.6",60
2227,"csp_6_3","EMP1.6",65
2241,"csp_5_6","EMP1.6",60
2242,"csp_4_5","EMP1.6",60
2248,"csp_2_2","EMP2.2",60
2250,"csp_3_3","EMP1.6",60
2254,"csp_5_4","EMP1.6",65
2265,"csp_5_2","EMP1.6",60
2273,"csp_4_3","EMP1.6",54
2285,"csp_6_2","EMP1.6",60
2288,"csp_5_6","EMP1.6",56
2296,"csp_3_3","EMP1.6",57
2297,"csp_4_3","EMP1.6",60
2302,"csp_4_6","EMP1.6",60
2315,"csp_5_2","EMP1.6",63
2320,"csp_6_3","EMP1.6",60
2327,"csp_3_3","EMP1.6",65
2328,"csp_5_5","EMP1.6",65
