PRIMARY_KEY,ECO_SECT,LAST_DEP,Job_dep,job_desc,TYPE_OF_CONTRACT,job_category,Work_condition,company_category,Working_hours,employee_count
6,"GZ","26","69","374c","CDI","O","C","ct_9",1650,"tr_3"
39,"NZ","75","77","684a","CDI","O","C","ct_9",1496,"tr_6"
46,"CA","35","35","674c","CDI","O","P","ct_9",1357,"tr_5"
47,"PZ","01","38","423b","CDI","O","C","ct_8",1429,"tr_0"
55,"QA","59","59","373d","CDI","O","P","ct_8",1437,"tr_4"
69,"FZ","13","13","481b","CDI","O","C","ct_9",1576,"tr_3"
92,"FZ","06","06","632a","CDI","O","C","ct_6",1517,"tr_1"
96,"NZ","30","30","676a","CDI","O","C","ct_9",1827,"tr_5"
104,"QB","60","60","563a","CDI","O","N","ct_7",862,"tr_1"
107,"PZ","78","92","524b","CDI","O","C","ct_1",1820,"tr_6"
113,"MB","89","91","534a","CDI","O","C","ct_5",980,"tr_6"
128,"KZ","68","68","684a","CDI","O","P","ct_9",1556,"tr_1"
151,"EZ","94","94","644a","CDI","O","C","ct_9",1820,"tr_5"
153,"NZ","13","13","543g","CDI","O","C","ct_9",1820,"tr_1"
161,"JC",NA,NA,"544a","CDI","O","C","ct_9",1701,"tr_2"
167,"FZ","62","59","632f","CDI","O","C","ct_9",1781,"tr_3"
179,"CK","68","68","623g","CDI","O","C","ct_9",1071,"tr_5"
184,"CE","26","26","674a","CDI","O","C","ct_9",1897,"tr_2"
187,"NZ","30","75","632k","CDI","O","P","ct_9",601,"tr_3"
201,"PZ","85","85","525b","CDI","O","P","ct_8",550,"tr_3"
203,"NZ","47","47","684a","CDI","O","P","ct_9",1324,"tr_5"
204,"CA","95","92","674c","CDI","O","C","ct_9",1820,"tr_5"
206,"OZ","80","80","471a","CDI","O","C","ct_1",1820,"tr_2"
209,"QB","21","21","685a","CDI","O","C","ct_8",1797,"tr_4"
217,"QA","44","44","526b","CDI","O","P","ct_6",936,"tr_1"
228,"HZ","12","12","651b","CDI","O","P","ct_9",1080,"tr_1"
240,"IZ","13","13","554h","CDI","O","C",NA,381,NA
242,"IZ","05","05","477d","CDI","O","C","ct_8",1516,"tr_3"
248,"CG","13",NA,"462e","CDI","O","C","ct_9",1635,"tr_1"
252,"QB","31","31","525d","CDI","O","P","ct_8",1179,"tr_5"
253,"PZ","59","59","422c","CDI","O","P","ct_8",1419,"tr_5"
275,"KZ","69","69","467b","CDI","O","P","ct_9",1757,"tr_6"
283,"CJ","46","46","462c","CDI","O","C","ct_9",1667,"tr_4"
295,"QA","73","73","526b","CDI","O","C","ct_6",503,"tr_1"
299,"QB","59","59","563b","AUT","O","C","ct_2",1819,"tr_5"
302,"KZ","83","83","545b","CDI","O","C","ct_9",526,"tr_2"
310,"QB","61","61","563b","CDI","O","P","ct_8",1506,"tr_3"
316,"MC","78","78","653a","CDI","O","C","ct_9",1878,"tr_5"
319,"CK","38","38","628g","CDI","O","C","ct_9",660,"tr_5"
324,"PZ","62","62","421b","CDI","O","P","ct_8",1471,"tr_1"
331,"GZ","34","34","554a","CDI","O","P","ct_9",1096,"tr_1"
334,"QA","79","79","451h","CDI","O","P","ct_3",1456,"tr_6"
344,"KZ","80","75","545c","CDI","O","C","ct_9",1820,"tr_4"
350,"CG","54","54","625c","CDI","O","C","ct_9",1719,"tr_4"
357,"PZ","60","60","422b","CDI","O","C","ct_8",1820,"tr_3"
386,"OZ","83","83","525a","CDI","O","C",NA,133,NA
391,"GZ","06","06","542a","CDI","O","P","ct_9",847,"tr_1"
410,"EZ","22","22","641a","CDI","O","C","ct_9",1522,"tr_3"
426,"QB","06","06","461d","CDI","O","C","ct_8",1820,"tr_4"
432,"PZ","47","47","341a","CDI","O","C","ct_8",1820,"tr_3"
