PRIMARY_KEY,Retirement_pay
6,33440
39,14194
46,8881
47,24611
55,21002
69,19685
92,16937
96,16495
104,8881
107,22304
113,29666
128,11891
151,19843
153,18642
161,13962
167,25906
179,19446
184,25772
187,11048
201,21416
203,9791
204,21268
206,31984
209,13491
217,14598
228,13827
240,13152
242,22357
248,25532
252,8881
253,16017
275,21971
283,22604
295,61616
299,13445
302,21348
310,12122
316,16550
319,15445
324,14197
331,10238
334,14716
344,11014
350,25033
357,20973
386,20046
391,12761
410,22350
426,23493
432,31432
433,45682
472,9582
479,11889
483,21184
487,15257
495,17290
508,24967
510,15677
513,19853
519,11048
524,21739
526,25499
532,22710
535,26084
554,13534
560,14216
562,11692
567,18020
580,15012
583,31017
589,12347
591,31166
618,19302
626,11863
644,20885
646,12204
647,8881
663,17197
681,14485
686,11048
698,13573
717,30755
730,14878
749,33261
773,26929
787,25675
789,15887
799,12821
803,24616
804,19230
812,26123
815,21287
819,15677
828,16141
830,11889
832,9874
837,21350
867,13220
871,11048
874,18009
896,9299
898,12877
902,11124
905,14694
907,23982
912,16062
918,19115
924,25567
928,14674
938,20118
948,12988
956,21063
970,16799
992,27605
1005,17099
1013,17806
1016,22134
1030,20479
1043,15734
1057,14456
1076,52169
1078,11048
1079,14221
1091,21349
1094,16308
1095,11048
1100,13721
1108,25142
1133,22111
1140,13934
1143,10298
1166,14858
1175,11048
1192,19555
1196,16123
1209,11945
1224,13008
1243,12967
1263,16245
1265,12096
1269,23035
1271,14250
1284,77619
1299,18337
1301,19723
1302,12459
1303,18501
1305,23716
1314,23009
1316,11408
1340,30834
1341,9884
1363,10632
1375,26167
1385,92656
1387,21488
1390,30389
1399,15366
1402,13590
1406,19019
1408,13146
1411,24212
1412,15910
1433,18997
1454,11048
1457,17986
1460,12672
1465,10651
1467,13615
1485,12409
1490,8881
1499,13276
1502,12605
1516,16084
1532,11945
1535,12845
1538,24463
1555,12068
1558,16009
1565,18204
1572,13002
1574,11048
1587,31645
1592,26193
1596,20732
1599,18646
1607,18303
1632,14149
1655,18785
1668,10109
1672,13139
1680,11889
1689,30935
1693,24900
1701,19774
1704,26308
1719,12878
1723,14423
1730,22050
1734,21214
1742,11555
1747,11048
1755,11495
1759,14144
1761,13660
1766,27472
1776,18414
1777,11048
1792,11048
1795,11626
1798,23701
1812,13124
1815,21137
1823,28440
1825,46286
1828,21807
1831,17481
1832,13211
1842,17083
1843,26146
1845,11031
1851,13866
1856,18649
1881,13111
1882,11048
1885,13183
1890,17195
1892,9832
1900,23507
1910,11779
1915,26001
1917,13297
1923,13690
1924,27942
1946,30362
1953,48894
1959,16542
1967,16190
1970,14925
1981,8881
1990,14699
2021,14378
2022,11048
2039,16337
2041,27804
2042,20209
2058,21329
2064,20762
2077,22731
2090,17108
2091,21931
2096,21301
2099,13912
2114,22205
2130,12606
2135,25509
2141,19455
2149,20795
2161,12481
2165,19702
2166,13370
2172,11048
2179,32571
2190,11048
2201,18335
2202,11889
2203,18461
2208,10350
2221,13095
2227,11938
2241,12410
2242,15190
2250,21358
2254,16633
2265,13278
2273,23356
2285,11314
2288,14086
2296,41236
2297,20762
2302,14252
2315,12079
2320,24627
2327,20929
2328,15888
2346,16184
2352,15691
2355,17947
2385,21316
2391,10636
2393,24687
2404,11182
2413,16757
2421,18256
2428,25958
2446,14110
2457,10705
2459,14586
2461,30126
2468,31082
2474,19889
2475,12332
2480,14666
2483,25840
2493,15423
2507,15908
2529,21323
2532,15384
2544,28978
2546,19442
2547,16097
2572,25166
2579,29686
2589,13962
2599,13565
2606,13680
2611,20844
2620,13714
2629,13902
2632,24038
2638,30921
2640,21485
2658,14480
2660,55601
2666,24740
2683,12658
2690,25954
2700,16063
2709,9851
2711,26116
2725,21396
2728,10850
2733,21264
2740,22117
2741,30992
2747,25856
2770,14351
2777,13713
2778,12035
2783,11770
2786,18312
2787,13104
2796,24189
2817,13207
2822,31530
2824,11852
2842,13297
2854,11721
2856,25356
2858,10057
2884,27103
2885,30630
2890,14576
2897,8881
2905,20030
2916,18438
2932,17554
2937,20931
2941,23700
2950,19527
2954,14236
2957,25355
2961,14299
2964,63614
2971,27608
2987,14678
2994,18571
2999,11048
3003,17442
3006,14544
3021,20821
3023,26494
3030,44077
3034,25818
3036,11515
3037,24553
3060,11890
3076,11884
3089,10978
3104,30620
3114,11555
3115,21025
3116,13800
3123,19804
3130,19610
3147,20063
3151,26686
3156,21177
3157,20785
3161,14522
3169,33574
3170,15089
3178,13477
3182,15996
3184,10288
3193,16455
3205,11048
3214,13970
3218,48266
3225,16328
3229,11992
3245,10219
3254,28980
3255,11430
3260,35567
3275,27299
3281,15242
3287,26985
3293,15173
3295,11725
3297,18629
3320,16500
3321,40031
3323,19302
3330,11048
3332,19532
3333,14850
3342,16852
3366,15447
3370,11699
3371,19531
3383,22997
3385,15119
3387,17029
3394,10212
3396,11048
3402,11359
3403,32824
3435,16601
3447,17470
3458,21292
3459,13808
3480,11048
3485,25519
3490,11048
3496,16899
3499,16563
3519,24642
3523,22102
3525,19454
3527,21840
3543,15010
3545,18337
3554,15242
3557,15063
3564,34196
3572,25369
3586,15630
3595,21926
3600,14997
3601,22714
3603,13586
3605,13398
3609,19051
3612,19920
3619,28467
3625,20938
3629,26428
3630,11925
3633,12651
3634,11021
3642,25290
3651,17342
3653,20634
3668,21562
3680,25498
3683,17038
3685,28079
3690,14431
3693,32399
3712,14567
3714,27709
3717,10929
3724,25497
3744,15404
3748,14426
3752,25637
3757,11048
3758,21693
3780,20960
3798,22829
3800,11901
3805,9989
3808,20661
3818,11686
3825,13997
3826,11939
3831,42959
3833,24962
3836,17296
3840,19650
3850,11192
3852,15373
3856,13064
3860,11943
3861,11048
3864,25312
3866,33790
3867,36568
3869,17909
3878,13817
3887,25734
3904,15459
3925,24899
3931,23555
3941,11865
3950,25716
3966,26167
3970,13574
3995,12230
3996,21645
4025,29600
