PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target,ECO_SECT,LAST_DEP,Job_dep,job_desc,TYPE_OF_CONTRACT,job_category,Work_condition,company_category,Working_hours,employee_count,LAST_JOB_42,last_emp_type,retirement_age,Retirement_pay,Nom de la commune,town_type,DEP,community_size,dep_median_inc,sports,Code,Categorie,Nom fédération,Nom catégorie,dep_act_rate
6,01004,TYPEMR|1|1,csp_7_4,dip|1|9,False,75,ACT2.1,Male,A,GZ,26,69,374c,CDI,O,C,ct_9,1650.0,tr_3,csp_3_7,EMP1.6,56,33440,Ambérieu-en-Bugey,Chef-lieu canton,01,14514,24810,,,,,,79.4
39,01010,TYPEMR|4|4,csp_7_8,dip|1|1,False,82,ACT2.1,Male,E,NZ,75,77,684a,CDI,O,C,ct_9,1496.0,tr_6,csp_6_8,EMP1.6,60,14194,Anglefort,Commune simple,01,1122,24810,,,,,,82.6
46,01014,TYPEMR|4|4,csp_7_8,dip|1|1,False,67,ACT2.1,Female,A,CA,35,35,674c,CDI,O,P,ct_9,1357.0,tr_5,csp_6_7,EMP1.6,60,8881,Arbent,Commune simple,01,3442,24810,,,,,,76.1
47,01014,TYPEMR|1|1,csp_7_5,dip|1|7,False,70,ACT2.1,Male,E,PZ,01,38,423b,CDI,O,C,ct_8,1429.0,tr_0,csp_4_2,EMP1.6,56,24611,Arbent,Commune simple,01,3442,24810,,,,,,76.5
55,01021,TYPEMR|1|2,csp_7_4,dip|1|6,False,64,ACT2.1,Female,E,QA,59,59,373d,CDI,O,P,ct_8,1437.0,tr_4,csp_3_7,EMP1.6,64,21002,Ars-sur-Formans,Commune simple,01,1485,24810,CF-245,CF-245,2.0,Fédération Française de la randonnée pédestre,Fédération unisport non olympique,74.1
69,01027,TYPEMR|4|1,csp_7_5,dip|1|1,False,86,ACT2.1,Male,E,FZ,13,13,481b,CDI,O,C,ct_9,1576.0,tr_3,csp_4_8,EMP1.6,58,19685,Balan,Commune simple,01,2615,24810,,,,,,73.7
92,01033,TYPEMR|4|3,csp_7_8,dip|3,False,63,ACT2.1,Male,E,FZ,06,06,632a,CDI,O,C,ct_6,1517.0,tr_1,csp_6_3,EMP1.6,63,16937,Valserhône,Chef-lieu canton,01,16728,24810,,,,,,72.3
96,01033,TYPEMR|4|4,csp_7_8,dip|2,False,77,ACT2.1,Female,A,NZ,30,30,676a,CDI,O,C,ct_9,1827.0,tr_5,csp_6_7,EMP1.6,62,16495,Valserhône,Chef-lieu canton,01,16728,24810,,,,,,66.2
104,01033,TYPEMR|4|4,csp_7_7,dip|1|2,False,71,ACT2.1,Female,A,QB,60,60,563a,CDI,O,N,ct_7,862.0,tr_1,csp_5_6,EMP1.6,63,8881,Valserhône,Chef-lieu canton,01,16728,24810,,,,,,76.7
107,01034,TYPEMR|1|1,csp_7_7,dip|1|1,False,91,ACT2.1,Male,E,PZ,78,92,524b,CDI,O,C,ct_1,1820.0,tr_6,csp_5_2,EMP1.6,65,22304,Belley,Sous-préfecture,01,9582,24810,,,,,,92.4
