PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target,Working_hours,TYPE_OF_CONTRACT,company_category,Work_condition,ECO_SECT,job_desc,employee_count,Job_dep,remuneration,job_category,emp_type,sports
9,01004,TYPEMR|4|1,csp_5_4,dip|1|6,False,46,ACT1.1,Female,A,1935.0,CDI,ct_8,C,OZ,545d,tr_6,01,24805,O,EMP1.6,
11,01004,TYPEMR|4|1,csp_6_7,dip|1|3,False,33,ACT1.1,Male,E,1697.0,CDI,ct_9,C,CG,674a,tr_5,01,22962,O,EMP1.6,
20,01004,TYPEMR|4|1,csp_5_3,dip|1|2,False,24,ACT1.1,Male,A,,AUT,ct_1,N,OZ,532c,tr_6,36,10594,O,EMP1.5,CF-401
22,01004,TYPEMR|4|1,csp_4_3,dip|1|7,False,23,ACT1.1,Female,A,1852.0,CDD,ct_9,C,QA,431f,tr_6,01,29058,O,EMP1.5,
33,01007,TYPEMR|4|1,csp_5_5,dip|3,False,43,ACT1.1,Male,E,1912.0,CDI,ct_9,C,GZ,552a,tr_5,69,20569,O,EMP1.6,CF-211
37,01009,TYPEMR|4|3,csp_6_3,dip|1|5,False,30,ACT1.1,Female,A,1130.0,CDI,ct_9,C,IZ,636d,tr_1,69,13112,O,EMP1.6,CF-135
40,01010,TYPEMR|1|2,csp_4_3,dip|1|7,False,59,ACT1.1,Female,E,1796.0,CDI,ct_8,C,QB,434a,tr_4,71,42271,O,EMP1.6,
48,01014,TYPEMR|4|1,csp_5_3,dip|1|6,False,45,ACT1.1,Male,A,490.0,CDI,ct_9,C,NZ,534a,tr_5,69,6183,O,EMP1.6,
54,01021,TYPEMR|4|1,csp_6_3,dip|1|3,False,30,ACT1.1,Male,A,1723.0,CDI,ct_9,C,FZ,632a,tr_2,01,23064,O,EMP1.6,
65,01026,TYPEMR|4|2,csp_5_2,dip|1|7,False,45,ACT1.1,Male,E,1920.0,CDI,ct_9,C,QA,526e,tr_1,01,30912,O,EMP1.6,
67,01026,TYPEMR|1|1,csp_5_5,dip|1|3,False,56,ACT1.1,Male,E,264.0,CDI,ct_9,C,GZ,551a,tr_5,01,2046,O,EMP1.6,
76,01031,TYPEMR|4|1,csp_5_2,dip|1|5,False,31,ACT1.1,Female,A,1820.0,AUT,ct_3,C,QA,526a,tr_6,01,20745,O,EMP1.5,
81,01032,TYPEMR|4|3,csp_5_4,dip|1|4,False,53,ACT1.1,Female,E,1849.0,CDI,ct_8,C,OZ,542a,tr_3,01,34499,O,EMP1.6,
86,01033,TYPEMR|1|2,csp_5_5,dip|1|3,False,24,ACT1.1,Female,A,1820.0,CDI,ct_9,C,GZ,554a,tr_1,74,22959,O,EMP1.6,
91,01033,TYPEMR|4|1,csp_3_8,dip|1|6,False,44,ACT1.1,Female,E,1820.0,CDI,ct_9,C,CG,387d,tr_5,01,25249,O,EMP1.6,
97,01033,TYPEMR|4|1,csp_6_3,dip|1|3,False,52,ACT1.1,Female,A,1745.0,CDI,ct_9,C,CH,634b,tr_2,01,23854,O,EMP1.6,
105,01033,TYPEMR|4|1,csp_6_8,dip|1|3,False,46,ACT1.1,Male,E,1520.0,CDI,ct_9,C,EZ,684b,tr_3,01,17577,O,EMP1.6,
111,01034,TYPEMR|4|2,csp_6_3,dip|1|3,False,32,ACT1.1,Male,A,1338.0,CDI,ct_9,C,IZ,636d,tr_1,01,13248,O,EMP1.6,
116,01034,TYPEMR|1|1,csp_4_7,dip|1|1,False,61,ACT1.1,Male,A,576.0,CDI,ct_9,C,CL,474b,tr_6,01,16935,O,EMP1.6,
120,01035,TYPEMR|1|2,csp_4_3,dip|1|8,False,37,ACT1.1,Female,A,1335.0,CDI,ct_8,P,QA,431f,tr_1,01,19797,O,EMP1.6,
129,01043,TYPEMR|4|1,csp_4_2,dip|1|7,False,37,ACT1.1,Female,E,1820.0,CDI,ct_8,C,PZ,422c,tr_5,01,17389,O,EMP1.6,
