PRIMARY_KEY,INSEE,Household_type,JOB_42,Highest_degree,Studying,AGE_2019,act,sex,target,Nom de la commune,town_type,DEP,community_size,dep_median_inc,sports,Code,Categorie,Nom fédération,Nom catégorie
1,01002,TYPEMR|3|2,csp_8_4,dip|1|2,True,18,ACT2.2,Male,A,L'Abergement-de-Varey,Commune simple,01,257,24810,,,,,
14,01004,TYPEMR|4|1,csp_8_4,dip|3,True,18,ACT2.2,Male,E,Ambérieu-en-Bugey,Chef-lieu canton,01,14514,24810,CF-604,CF-604,6.0,Union nationale du sport scolaire (UNSS),Fédération multisports scolaire ou universitaire
23,01004,TYPEMR|1|1,csp_5_3,dip|1|5,False,40,ACT1.1,Male,E,Ambérieu-en-Bugey,Chef-lieu canton,01,14514,24810,,,,,
34,01007,TYPEMR|3|2,csp_8_4,dip|1|2,True,17,ACT2.2,Female,A,Ambronay,Commune simple,01,2915,24810,,,,,
41,01010,TYPEMR|4|1,csp_6_9,dip|1,False,61,ACT1.1,Male,A,Anglefort,Commune simple,01,1122,24810,,,,,
50,01014,TYPEMR|4|1,csp_3_1,dip|1|8,False,52,ACT1.1,Female,E,Arbent,Commune simple,01,3442,24810,,,,,
56,01022,TYPEMR|4|2,csp_5_2,dip|1|3,False,40,ACT1.2,Female,A,Artemare,Commune simple,01,1267,24810,,,,,
57,01022,TYPEMR|3|2,csp_8_5,dip|1,False,30,ACT2.5,Male,A,Artemare,Commune simple,01,1267,24810,CF-503,CF-503,5.0,Fédération Française du sport adapté,Fédération multisports sport et handicap
60,01025,TYPEMR|4|2,csp_4_3,dip|1|7,False,37,ACT1.1,Male,A,Bâgé-Dommartin,Commune simple,01,4171,24810,CF-212,CF-212,2.0,"Fédération Française de savate, boxe française et disciplines associées",Fédération unisport non olympique
61,01025,TYPEMR|4|1,csp_5_2,dip|1|3,False,43,ACT1.1,Male,A,Bâgé-Dommartin,Commune simple,01,4171,24810,,,,,
62,01025,TYPEMR|3|2,csp_8_4,dip|1|2,True,18,ACT2.2,Male,A,Bâgé-Dommartin,Commune simple,01,4171,24810,,,,,
66,01026,TYPEMR|4|1,csp_8_4,dip|1|2,True,15,ACT2.2,Female,A,Bâgé-le-Châtel,Chef-lieu canton,01,1041,24810,CF-111,CF-111,1.0,Fédération Française de football,Fédération unisport olympique
70,01027,TYPEMR|3|2,csp_8_4,dip|1|2,True,17,ACT2.2,Female,A,Balan,Commune simple,01,2615,24810,,,,,
71,01027,TYPEMR|1|2,csp_7_1,dip|1|1,False,84,ACT2.1,Female,A,Balan,Commune simple,01,2615,24810,,,,,
74,01031,TYPEMR|1|1,csp_7_2,dip|1|1,False,86,ACT2.1,Male,E,Bellignat,Commune simple,01,3886,24810,,,,,
75,01031,TYPEMR|1|2,csp_8_5,dip|1|6,False,36,ACT2.5,Female,A,Bellignat,Commune simple,01,3886,24810,,,,,
79,01031,TYPEMR|3|2,csp_5_5,dip|1|4,False,47,ACT1.2,Female,A,Bellignat,Commune simple,01,3886,24810,,,,,
83,01032,TYPEMR|2|0,csp_8_5,dip|3,False,35,ACT2.4,Female,E,Béligneux,Commune simple,01,3405,24810,,,,,
87,01033,TYPEMR|1|2,csp_3_1,dip|1|8,False,39,ACT1.1,Female,A,Valserhône,Chef-lieu canton,01,16728,24810,,,,,
88,01033,TYPEMR|4|1,csp_2_2,dip|1|7,False,54,ACT1.1,Male,E,Valserhône,Chef-lieu canton,01,16728,24810,,,,,
94,01033,TYPEMR|3|2,csp_4_5,dip|1|7,False,44,ACT1.1,Female,A,Valserhône,Chef-lieu canton,01,16728,24810,,,,,
98,01033,TYPEMR|4|1,csp_8_4,dip|1|2,True,17,ACT2.2,Male,E,Valserhône,Chef-lieu canton,01,16728,24810,,,,,
106,01033,TYPEMR|3|2,csp_8_4,dip|2,False,19,ACT2.2,Female,E,Valserhône,Chef-lieu canton,01,16728,24810,CF-601,CF-601,6.0,Fédération française du sport universitaire,Fédération multisports scolaire ou universitaire
112,01034,TYPEMR|4|1,csp_2_1,dip|1|6,False,48,ACT1.1,Female,A,Belley,Sous-préfecture,01,9582,24810,,,,,
117,01034,TYPEMR|4|2,csp_5_4,dip|1|7,False,34,ACT1.2,Female,A,Belley,Sous-préfecture,01,9582,24810,CF-115,CF-115,1.0,Fédération Française de handball,Fédération unisport olympique
118,01034,TYPEMR|4|2,csp_5_5,dip|1|2,False,43,ACT1.2,Female,A,Belley,Sous-préfecture,01,9582,24810,,,,,
122,01036,TYPEMR|4|2,csp_8_5,dip|1|3,False,41,ACT2.5,Female,A,Valromey-sur-Séran,Commune simple,01,1345,24810,,,,,
125,01039,TYPEMR|4|4,csp_8_5,dip|1,False,49,ACT2.5,Female,A,Béon,Commune simple,01,451,24810,,,,,
131,01044,TYPEMR|3|2,csp_8_4,dip|3,True,17,ACT2.2,Female,A,Billiat,Commune simple,01,648,24810,,,,,
134,01049,TYPEMR|1|2,csp_8_4,dip|1|6,True,26,ACT2.2,Female,A,La Boisse,Commune simple,01,3356,24810,,,,,
140,01053,TYPEMR|4|2,csp_8_5,dip|1|1,False,39,ACT2.5,Female,E,Bourg-en-Bresse,Préfecture,01,42853,24810,CF-212,CF-212,2.0,"Fédération Française de savate, boxe française et disciplines associées",Fédération unisport non olympique
142,01053,TYPEMR|4|1,csp_2_1,dip|1|4,False,29,ACT1.1,Female,A,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
145,01053,TYPEMR|4|3,csp_7_2,dip|1|1,False,65,ACT2.1,Male,E,Bourg-en-Bresse,Préfecture,01,42853,24810,CF-132,CF-132,1.0,Fédération Française de golf,Fédération unisport olympique
154,01053,TYPEMR|4|1,csp_1_1,dip|1|2,False,54,ACT1.1,Female,A,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
157,01053,TYPEMR|4|1,csp_5_6,dip|1|4,False,19,ACT1.2,Female,A,Bourg-en-Bresse,Préfecture,01,42853,24810,,,,,
