PRIMARY_KEY,target
8,A
12,E
15,E
26,E
30,E
31,A
45,A
68,E
72,A
73,E
80,A
90,A
93,A
95,A
108,A
110,A
114,A
127,A
137,E
139,A
148,E
156,E
160,A
162,E
165,E
172,E
176,E
178,A
182,E
188,E
192,E
194,E
198,E
207,A
210,E
218,E
226,A
231,E
236,A
238,E
244,A
255,E
263,A
264,A
268,A
289,A
307,A
311,E
318,E
322,E
328,A
329,E
340,E
343,A
355,E
361,A
364,A
366,A
367,A
372,A
373,E
383,A
395,E
404,E
405,E
417,A
424,E
430,E
436,A
437,E
448,E
449,E
450,A
459,A
460,A
462,A
464,E
470,A
477,E
484,A
489,E
490,A
494,E
500,E
501,E
506,E
507,A
514,E
534,A
538,E
539,E
549,E
556,A
557,A
565,A
569,E
572,A
573,A
576,E
586,E
587,E
597,E
603,A
606,A
610,A
615,E
624,E
625,A
637,E
642,A
645,E
649,E
652,A
660,A
662,E
674,A
677,E
685,A
693,E
697,A
715,E
716,E
720,A
737,E
745,A
746,E
747,A
754,A
755,A
759,E
761,A
764,E
771,E
776,E
781,E
794,E
796,A
798,E
810,A
821,A
824,E
829,A
834,E
864,A
866,A
872,A
873,A
876,A
886,A
900,A
916,A
917,A
919,A
923,A
925,E
927,A
935,E
939,A
943,E
950,A
952,A
958,E
962,A
968,A
977,A
980,E
988,E
995,A
999,A
1001,A
1003,A
1009,A
1011,A
1015,A
1026,A
1029,A
1063,E
1072,A
1080,A
1088,A
1096,A
1099,A
1104,E
1106,A
1109,A
1110,A
1111,A
1114,A
1120,A
1126,A
1145,A
1150,A
1162,E
1164,A
1176,E
1183,A
1186,E
1198,A
1208,E
1213,A
1216,E
1235,A
1240,A
1245,A
1246,A
1249,A
1259,A
1261,E
1264,E
1270,A
1294,A
1295,E
1300,A
1306,A
1312,A
1318,A
1323,A
1326,A
1333,A
1343,E
1346,E
1349,A
1350,A
1355,E
1361,E
1364,A
1370,A
1372,A
1391,A
1400,A
1407,A
1413,E
1427,A
1441,A
1442,A
1443,A
1446,A
1456,A
1461,E
1462,A
1468,A
1470,A
1474,A
1486,E
1487,E
1494,A
1495,A
1497,A
1500,A
1501,A
1508,A
1511,A
1512,A
1515,E
1517,A
1520,A
1524,A
1527,A
1529,A
1544,A
1548,A
1552,E
1561,A
1562,E
1579,A
1580,E
1588,A
1590,A
1593,A
1595,E
1598,A
1601,A
1612,A
1617,E
1618,E
1630,A
1631,A
1644,E
1647,E
1648,A
1649,E
1667,A
1674,E
1675,A
1687,A
1708,A
1720,A
1721,A
1728,A
1729,A
1735,E
1737,A
1748,A
1750,A
1751,A
1754,A
1758,A
1762,A
1763,A
1765,A
1772,E
1785,E
1791,A
1794,E
1796,A
1799,A
1808,A
1813,E
1838,A
1839,E
1841,A
1850,A
1859,A
1862,E
1867,A
1873,A
1874,E
1877,A
1884,E
1893,A
1895,A
1898,E
1902,E
1905,A
1906,A
1909,A
1911,A
1921,E
1922,A
1925,A
1926,A
1931,A
1937,E
1947,A
1948,E
1957,E
1960,E
1962,A
1963,E
1979,E
1982,A
1994,E
2000,E
2004,E
2020,A
2023,A
2026,E
2038,A
2043,E
2046,A
2047,E
2048,A
2053,A
2054,E
2078,A
2098,E
2102,E
2113,A
2122,E
2123,A
2129,A
2140,E
2147,A
2150,A
2152,A
2154,E
2157,E
2169,A
2170,A
2176,A
2177,A
2180,E
2185,A
2186,A
2192,A
2193,A
2194,A
2220,E
2225,A
2231,E
2233,A
2236,A
2243,A
2244,A
2247,A
2258,A
2266,E
2274,A
2275,A
2281,A
2286,E
2289,E
2291,E
2300,A
2313,A
2314,E
2319,A
2338,A
2351,A
2360,A
2365,A
2370,A
2386,E
2402,E
2403,A
2433,E
2445,A
2453,E
2458,A
2478,A
2497,A
2512,A
2515,A
2521,A
2527,A
2530,A
2531,A
2541,A
2549,E
2556,A
2568,A
2571,A
2578,A
2588,A
2590,E
2591,E
2602,E
2609,A
2626,A
2628,A
2642,E
2659,E
2669,A
2671,A
2684,E
2688,A
2706,E
2712,E
2735,A
2742,A
2746,E
2760,E
2765,A
2767,E
2793,E
2798,A
2801,A
2804,A
2806,E
2815,A
2816,E
2820,E
2821,A
2827,E
2829,E
2831,A
2833,A
2835,A
2837,E
2849,A
2851,A
2853,E
2857,E
2862,E
2863,E
2873,A
2877,E
2880,E
2896,E
2908,A
2911,A
2914,A
2917,A
2929,A
2931,E
2936,E
2942,A
2974,A
2975,E
2980,E
2982,A
2983,E
2988,E
2995,E
2998,A
3000,A
3016,A
3019,E
3020,E
3022,E
3029,A
3033,A
3044,A
3045,A
3049,A
3063,E
3068,A
3069,E
3073,E
3075,A
3082,E
3085,E
3087,E
3098,A
3100,A
3121,A
3122,A
3125,E
3127,A
3132,E
3142,E
3144,E
3160,E
3164,A
3180,E
3185,A
3186,E
3189,E
3191,A
3194,E
3195,A
3198,A
3207,E
3209,E
3215,A
3232,E
3240,E
3249,A
3251,E
3256,E
3263,A
3264,E
3270,A
3271,A
3272,A
3282,A
3290,E
3291,E
3302,A
3316,A
3325,E
3327,A
3334,A
3335,A
3339,A
3345,E
3347,A
3348,A
3355,E
3356,A
3357,A
3362,E
3367,E
3368,E
3373,E
3374,E
3377,E
3382,A
3391,A
3397,E
3398,A
3399,A
3404,E
3406,A
3412,A
3419,E
3421,A
3422,E
3423,E
3425,E
3426,E
3431,A
3433,E
3436,A
3450,A
3457,A
3460,E
3463,E
3464,E
3468,E
3478,E
3479,A
3483,A
3493,E
3500,E
3502,E
3509,E
3521,A
3530,E
3531,A
3541,E
3544,A
3546,E
3571,A
3585,A
3587,A
3602,A
3611,A
3616,A
3620,A
3621,A
3622,A
3623,E
3631,E
3635,A
3636,A
3637,A
3644,A
3646,E
3647,A
3660,A
3663,E
3672,A
3688,E
3695,E
3700,A
3701,A
3709,A
3718,E
3726,E
3732,A
3737,A
3738,A
3747,A
3749,E
3750,A
3751,A
3755,A
3763,A
3771,A
3779,E
3788,E
3797,E
3799,E
3807,A
3811,A
3823,A
3841,A
3842,A
3848,E
3851,A
3854,A
3859,A
3863,E
3865,A
3872,A
3876,A
3879,A
3882,A
3888,A
3892,A
3895,A
3902,A
3907,A
3912,A
3916,A
3919,A
3935,A
3937,A
3945,A
3947,A
3953,A
3956,A
3957,A
3959,A
3962,E
3965,A
3971,A
3974,A
3975,A
3981,A
3993,A
3998,A
4009,A
4012,A
4013,E
4014,A
4021,E
4022,A
4026,E
4032,A
4033,E
4046,A
4047,E
4054,A
4055,A
4057,A
4060,A
4063,A
4066,A
4076,A
4079,E
4083,A
4087,E
4088,E
4089,A
4095,A
4099,A
4102,A
4113,A
4117,A
4123,E
4133,E
4134,E
4136,A
4138,A
4147,E
4152,A
4160,A
4165,A
4176,A
4183,E
4186,E
4190,A
4193,A
4199,A
4203,A
4213,E
4215,E
4218,E
4222,E
4237,A
4246,E
4254,A
4262,A
4275,A
4283,A
4286,A
4288,A
4291,E
4296,A
4305,E
4309,E
4311,A
4320,A
4321,E
4329,A
4331,A
4335,A
4338,A
4339,E
4340,A
4349,A
4353,E
4354,E
4379,A
4389,E
4403,A
4404,E
4405,E
4406,A
4412,E
4424,E
4428,A
4429,A
4432,A
4438,A
4442,E
4444,E
4453,A
4465,E
4467,E
4468,A
4487,A
4491,E
4499,E
4500,A
4502,E
4507,E
4510,E
4531,E
4533,E
4543,E
4548,A
4552,E
4559,E
4568,E
4576,A
4594,A
4598,E
4612,A
4615,A
4617,A
4619,E
4622,E
4623,A
4624,E
4642,E
4643,E
4659,E
4660,A
4665,A
4666,A
4669,A
4674,E
4684,A
4685,E
4688,E
4692,A
4693,A
4707,E
4718,E
4722,A
4731,E
4745,E
4746,A
4757,A
4763,E
4786,A
4789,E
4791,E
4792,A
4793,E
4810,A
4817,E
4843,E
4844,A
4865,A
4866,A
4872,A
4874,A
4875,A
4881,E
4887,A
4893,A
4900,E
4909,A
4916,A
4925,A
4934,E
4938,E
4962,E
4963,A
4969,E
4972,E
4974,E
4979,A
4980,A
4981,A
4985,A
4987,E
4989,E
4990,A
5010,A
5047,A
5054,E
5058,A
5063,E
5064,A
5072,A
5077,A
5078,E
5079,A
5083,E
5084,E
5088,A
5093,A
5094,E
5095,A
5100,E
5101,A
5103,E
5105,E
5106,E
5111,A
5115,A
5123,A
5144,A
5145,A
5157,A
5160,A
5161,A
5166,E
5168,A
5169,A
5171,A
5172,A
5180,A
5182,A
5183,A
5184,A
5190,A
5191,A
5194,A
5206,A
5209,A
5229,A
5231,A
5239,A
5256,A
5257,A
5266,A
5274,A
5280,A
5291,A
5292,A
5296,A
5306,A
5312,E
5327,A
5339,A
5348,A
5350,A
5353,A
5356,A
5359,A
5373,E
5376,A
5386,A
5387,A
5399,A
5401,E
5403,A
5405,E
5411,A
5415,E
5418,A
5419,A
5437,A
5462,E
5472,A
5475,A
5479,E
5483,E
5485,A
5493,E
5503,E
5508,E
5515,A
5518,E
5536,E
5551,A
5553,A
5561,E
5571,E
5574,A
5575,E
5585,E
5590,E
5613,E
5617,E
5620,A
5627,A
5633,E
5634,E
5638,E
5644,E
5648,A
5658,A
5672,A
5687,A
5711,A
5725,E
5736,A
5751,A
5753,A
5758,A
5759,A
5764,A
5772,A
5774,A
5778,E
5780,A
5784,A
5785,A
5793,E
5799,A
5802,E
5816,A
5826,A
5839,A
5841,A
5847,A
5855,E
5857,A
5859,A
5860,A
5866,A
5868,E
5869,A
5871,A
5875,A
5878,A
5882,A
5883,A
5884,E
5887,A
5889,A
5903,A
5909,A
5910,A
5912,A
5925,A
5928,E
5936,A
5947,A
5958,A
5974,A
5980,A
5988,A
6001,E
6002,E
6005,A
6007,A
6011,A
6013,A
6015,A
6032,A
6035,A
6047,E
6050,A
6059,A
6063,E
6067,A
6076,A
6079,A
6084,E
6098,E
6106,A
6112,E
6113,A
6114,A
6142,E
6144,A
6153,E
6154,A
6158,A
6172,A
6175,E
6183,E
6199,E
6200,A
6204,E
6209,A
6210,E
6215,E
6226,E
6232,E
6238,E
6249,E
6256,E
6266,A
6275,E
6276,E
6285,A
6295,A
6311,A
6329,A
6335,E
6340,A
6344,E
6347,E
6352,E
6355,A
6358,A
6359,A
6365,A
6372,A
6378,E
6382,E
6384,E
6389,A
6399,E
6411,A
6414,E
6421,A
6422,E
6428,E
6432,E
6436,A
6438,E
6443,A
6444,E
6448,A
6453,A
6464,E
6467,A
6484,A
6490,E
